_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Jugador_mut103,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,>=,==
_M_Jugador_mut104,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,>=,!=
_M_Jugador_mut105,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,>=,<
_M_Jugador_mut106,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,>=,>
_M_Jugador_mut107,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,puedeHipotecarHasta,>=,<=
_M_Jugador_mut108,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,tieneDeudaCon,&&,||
_M_Jugador_mut109,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,<,==
_M_Jugador_mut110,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,<,!=
_M_Jugador_mut111,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,<,>
_M_Jugador_mut112,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,<,<=
_M_Jugador_mut113,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,<,>=
_M_Jugador_mut114,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,==,!=
_M_Jugador_mut115,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,==,<
_M_Jugador_mut116,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,==,>
_M_Jugador_mut117,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,==,<=
_M_Jugador_mut118,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagarDeuda,==,>=
_M_Jugador_mut119,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,<,==
_M_Jugador_mut120,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,<,!=
_M_Jugador_mut121,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,<,>
_M_Jugador_mut122,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,<,<=
_M_Jugador_mut123,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,<,>=
_M_Jugador_mut124,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,==,!=
_M_Jugador_mut125,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,==,<
_M_Jugador_mut126,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,==,>
_M_Jugador_mut127,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,==,<=
_M_Jugador_mut128,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,saldarDeudaConBanca,==,>=
_M_Jugador_mut129,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,!=,==
_M_Jugador_mut130,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,!=,<
_M_Jugador_mut131,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,!=,>
_M_Jugador_mut132,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,!=,<=
_M_Jugador_mut133,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,!=,>=
_M_Jugador_mut134,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,>=,==
_M_Jugador_mut135,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,>=,!=
_M_Jugador_mut136,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,>=,<
_M_Jugador_mut137,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,>=,>
_M_Jugador_mut138,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,pagaPorSalirDeLaCarcel,>=,<=
_M_Jugador_mut139,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,+,-
_M_Jugador_mut140,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,+,*
_M_Jugador_mut141,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,+,/
_M_Jugador_mut142,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,+,%
_M_Jugador_mut143,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,==
_M_Jugador_mut144,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,!=
_M_Jugador_mut145,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,<
_M_Jugador_mut146,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,<=
_M_Jugador_mut147,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,>=
_M_Jugador_mut148,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,+
_M_Jugador_mut149,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,-
_M_Jugador_mut150,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,/
_M_Jugador_mut151,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,%
_M_Jugador_mut152,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,==
_M_Jugador_mut153,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,!=
_M_Jugador_mut154,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,<
_M_Jugador_mut155,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,<=
_M_Jugador_mut156,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,>,>=
_M_Jugador_mut157,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,||,&&
_M_Jugador_mut158,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,+
_M_Jugador_mut159,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,-
_M_Jugador_mut160,edu.uclm.esi.iso5.juegos.monopoly.dominio.Jugador,edificar,*,/
